8,307.0,130.0,      3504.0,12.0,   A, x,  chevrolet chevelle malibu,0.2393617021276596
8,350.0,165.0,      3693.0,11.5,   A, x,  buick skylark 320,0.15957446808510636
8,318.0,150.0,      3436.0,11.0,   A, x,  plymouth satellite,0.2393617021276596
8,304.0,150.0,      3433.0,12.0,   A, x,  amc rebel sst,0.18617021276595744
8,302.0,140.0,      3449.0,10.5,   A, x,  ford torino,0.2127659574468085
8,429.0,198.0,      4341.0,10.0,   A, x,  ford galaxie 500,0.15957446808510636
8,454.0,220.0,      4354.0,9.0,   A, x,  chevrolet impala,0.1329787234042553
8,440.0,215.0,      4312.0,8.5,   A, x,  plymouth fury iii,0.1329787234042553
8,455.0,225.0,      4425.0,10.0,   A, x,  pontiac catalina,0.1329787234042553
8,390.0,190.0,      3850.0,8.5,   A, x,  amc ambassador dpl,0.15957446808510636
8,383.0,170.0,      3563.0,10.0,   A, x,  dodge challenger se,0.15957446808510636
8,340.0,160.0,      3609.0,8.0,   A, x,  plymouth 'cuda 340,0.1329787234042553
8,400.0,150.0,      3761.0,9.5,   A, x,  chevrolet monte carlo,0.15957446808510636
8,455.0,225.0,      3086.0,10.0,   A, x,  buick estate wagon (sw),0.1329787234042553
4,113.0,95.0,      2372.0,15.0,   A, z,  toyota corona mark ii,0.39893617021276595
6,198.0,95.0,      2833.0,15.5,   A, x,  plymouth duster,0.3457446808510638
6,199.0,97.0,      2774.0,15.5,   A, x,  amc hornet,0.2393617021276596
6,200.0,85.0,      2587.0,16.0,   A, x,  ford maverick,0.3191489361702128
4,97.0,88.0,      2130.0,14.5,   A, z,  datsun pl510,0.4787234042553191
4,97.0,46.0,      1835.0,20.5,   A, y,  volkswagen 1131 deluxe sedan,0.4521276595744681
4,110.0,87.0,      2672.0,17.5,   A, y,  peugeot 504,0.42553191489361697
4,107.0,90.0,      2430.0,14.5,   A, y,  audi 100 ls,0.39893617021276595
4,104.0,95.0,      2375.0,17.5,   A, y,  saab 99e,0.42553191489361697
4,121.0,113.0,      2234.0,12.5,   A, y,  bmw 2002,0.4521276595744681
6,199.0,90.0,      2648.0,15.0,   A, x,  amc gremlin,0.3191489361702128
8,360.0,215.0,      4615.0,14.0,   A, x,  ford f250,0.026595744680851047
8,307.0,200.0,      4376.0,15.0,   A, x,  chevy c20,0.026595744680851047
8,318.0,210.0,      4382.0,13.5,   A, x,  dodge d200,0.05319148936170212
8,304.0,193.0,      4732.0,18.5,   A, x,  hi 1200d,0.0
4,97.0,88.0,      2130.0,14.5,   B, z,  datsun pl510,0.4787234042553191
4,140.0,90.0,      2264.0,15.5,   B, x,  chevrolet vega 2300,0.5053191489361701
4,113.0,95.0,      2228.0,14.0,   B, z,  toyota corona,0.42553191489361697
6,232.0,100.0,      2634.0,13.0,   B, x,  amc gremlin,0.26595744680851063
6,225.0,105.0,      3439.0,15.5,   B, x,  plymouth satellite custom,0.18617021276595744
6,250.0,100.0,      3329.0,15.5,   B, x,  chevrolet chevelle malibu,0.2127659574468085
6,250.0,88.0,      3302.0,15.5,   B, x,  ford torino 500,0.26595744680851063
6,232.0,100.0,      3288.0,15.5,   B, x,  amc matador,0.2393617021276596
8,350.0,165.0,      4209.0,12.0,   B, x,  chevrolet impala,0.1329787234042553
8,400.0,175.0,      4464.0,11.5,   B, x,  pontiac catalina brougham,0.1329787234042553
8,351.0,153.0,      4154.0,13.5,   B, x,  ford galaxie 500,0.1329787234042553
8,318.0,150.0,      4096.0,13.0,   B, x,  plymouth fury iii,0.1329787234042553
8,383.0,180.0,      4955.0,11.5,   B, x,  dodge monaco (sw),0.0797872340425532
8,400.0,170.0,      4746.0,12.0,   B, x,  ford country squire (sw),0.10638297872340427
8,400.0,175.0,      5140.0,12.0,   B, x,  pontiac safari (sw),0.10638297872340427
6,258.0,110.0,      2962.0,13.5,   B, x,  amc hornet sportabout (sw),0.2393617021276596
4,140.0,72.0,      2408.0,19.0,   B, x,  chevrolet vega (sw),0.3457446808510638
6,250.0,100.0,      3282.0,15.0,   B, x,  pontiac firebird,0.26595744680851063
6,250.0,88.0,      3139.0,14.5,   B, x,  ford mustang,0.2393617021276596
4,122.0,86.0,      2220.0,14.0,   B, x,  mercury capri 2000,0.3723404255319148
4,116.0,90.0,      2123.0,14.0,   B, y,  opel 1900,0.5053191489361701
4,79.0,70.0,      2074.0,19.5,   B, y,  peugeot 304,0.5585106382978723
4,88.0,76.0,      2065.0,14.5,   B, y,  fiat 124b,0.5585106382978723
4,71.0,65.0,      1773.0,19.0,   B, z,  toyota corolla 1200,0.5851063829787234
