b,30.83,0.0,u ,g5   ,w,v,1.25,t,+  ,1,fa   ,g,202,0,1
a,58.67,4.46,u ,g5   ,q,h,3.04,t,+  ,6,fa   ,g,43,560,1
a,24.5,0.5,u ,g5   ,q,h,1.5,t,-  ,0,fa   ,g,280,824,1
b,27.83,1.54,u ,g5   ,w,v,3.75,t,+  ,5,tr   ,g,100,3,1
b,20.17,5.625,u ,g5   ,w,v,1.71,t,-  ,0,fa   ,s,120,0,1
b,32.08,4.0,u ,g5   ,m,v,2.5,t,-  ,0,tr   ,g,360,0,1
b,33.17,1.04,u ,g5   ,r,h,6.5,t,-  ,0,tr   ,g,164,31285,1
a,22.92,11.585,u ,g5   ,cc,v,0.04,t,-  ,0,fa   ,g,80,1349,1
b,54.42,0.5,y ,p5   ,k,h,3.96,t,-  ,0,fa   ,g,180,314,1
b,42.5,4.915,y ,p5   ,w,v,3.165,t,-  ,0,tr   ,g,52,1442,1
b,22.08,0.83,u ,g5   ,c,h,2.165,f,-  ,0,tr   ,g,128,0,1
b,29.92,1.835,u ,g5   ,c,h,4.335,t,-  ,0,fa   ,g,260,200,1
a,38.25,6.0,u ,g5   ,k,v,1.0,t,-  ,0,tr   ,g,0,0,1
b,48.08,6.04,u ,g5   ,k,v,0.04,f,-  ,0,fa   ,g,0,2690,1
a,45.83,10.5,u ,g5   ,q,v,5.0,t,+  ,7,tr   ,g,0,0,1
b,36.67,4.415,y ,p5   ,k,v,0.25,t,+  ,10,tr   ,g,320,0,1
b,28.25,0.875,u ,g5   ,m,v,0.96,t,+  ,3,tr   ,g,396,0,1
a,23.25,5.875,u ,g5   ,q,v,3.17,t,+  ,10,fa   ,g,120,245,1
b,21.83,0.25,u ,g5   ,d,h,0.665,t,-  ,0,tr   ,g,0,0,1
a,19.17,8.585,u ,g5   ,cc,h,0.75,t,+  ,7,fa   ,g,96,0,1
b,25.0,11.25,u ,g5   ,c,v,2.5,t,+  ,17,fa   ,g,200,1208,1
b,23.25,1.0,u ,g5   ,c,v,0.835,t,-  ,0,fa   ,s,300,0,1
a,47.75,8.0,u ,g5   ,c,v,7.875,t,+  ,6,tr   ,g,0,1260,1
a,27.42,14.5,u ,g5   ,x,h,3.085,t,+  ,1,fa   ,g,120,11,1
a,41.17,6.5,u ,g5   ,q,v,0.5,t,+  ,3,tr   ,g,145,0,1
a,15.83,0.585,u ,g5   ,c,h,1.5,t,+  ,2,fa   ,g,100,0,1
a,47.0,13.0,u ,g5   ,i,bb,5.165,t,+  ,9,tr   ,g,0,0,1
b,56.58,18.5,u ,g5   ,d,bb,15.0,t,+  ,17,tr   ,g,0,0,1
b,57.42,8.5,u ,g5   ,e,h,7.0,t,+  ,3,fa   ,g,0,0,1
b,42.08,1.04,u ,g5   ,w,v,5.0,t,+  ,6,tr   ,g,500,10000,1
b,29.25,14.79,u ,g5   ,aa,v,5.04,t,+  ,5,tr   ,g,168,0,1
b,42.0,9.79,u ,g5   ,x,h,7.96,t,+  ,8,fa   ,g,0,0,1
b,49.5,7.585,u ,g5   ,i,bb,7.585,t,+  ,15,tr   ,g,0,5000,1
a,36.75,5.125,u ,g5   ,e,v,5.0,t,-  ,0,tr   ,g,0,4000,1
a,22.58,10.75,u ,g5   ,q,v,0.415,t,+  ,5,tr   ,g,0,560,1
b,27.83,1.5,u ,g5   ,w,v,2.0,t,+  ,11,tr   ,g,434,35,1
b,27.25,1.585,u ,g5   ,cc,h,1.835,t,+  ,12,tr   ,g,583,713,1
a,23.0,11.75,u ,g5   ,x,h,0.5,t,+  ,2,tr   ,g,300,551,1
b,27.75,0.585,y ,p5   ,cc,v,0.25,t,+  ,2,fa   ,g,260,500,1
b,54.58,9.415,u ,g5   ,ff,ff,14.415,t,+  ,11,tr   ,g,30,300,1
b,34.17,9.17,u ,g5   ,c,v,4.5,t,+  ,12,tr   ,g,0,221,1
b,28.92,15.0,u ,g5   ,c,h,5.335,t,+  ,11,fa   ,g,0,2283,1
b,29.67,1.415,u ,g5   ,w,h,0.75,t,+  ,1,fa   ,g,240,100,1
b,39.58,13.915,u ,g5   ,w,v,8.625,t,+  ,6,tr   ,g,70,0,1
b,56.42,28.0,y ,p5   ,c,v,28.5,t,+  ,40,fa   ,g,0,15,1
b,54.33,6.75,u ,g5   ,c,h,2.625,t,+  ,11,tr   ,g,0,284,1
a,41.0,2.04,y ,p5   ,q,h,0.125,t,+  ,23,tr   ,g,455,1236,1
b,31.92,4.46,u ,g5   ,cc,h,6.04,t,+  ,3,fa   ,g,311,300,1
b,41.5,1.54,u ,g5   ,i,bb,3.5,f,-  ,0,fa   ,g,216,0,1
b,23.92,0.665,u ,g5   ,c,v,0.165,f,-  ,0,fa   ,g,100,0,1
a,25.75,0.5,u ,g5   ,c,h,0.875,t,-  ,0,tr   ,g,491,0,1
b,26.0,1.0,u ,g5   ,q,v,1.75,t,-  ,0,tr   ,g,280,0,1
b,37.42,2.04,u ,g5   ,w,v,0.04,t,-  ,0,tr   ,g,400,5800,1
b,34.92,2.5,u ,g5   ,w,v,0.0,t,-  ,0,tr   ,g,239,200,1
b,34.25,3.0,u ,g5   ,cc,h,7.415,t,-  ,0,tr   ,g,0,0,1
b,23.33,11.625,y ,p5   ,w,v,0.835,t,-  ,0,tr   ,g,160,300,1
b,23.17,0.0,u ,g5   ,cc,v,0.085,t,-  ,0,fa   ,g,0,0,1
b,44.33,0.5,u ,g5   ,i,h,5.0,t,-  ,0,tr   ,g,320,0,1
b,35.17,4.5,u ,g5   ,x,h,5.75,f,-  ,0,tr   ,s,711,0,1
b,43.25,3.0,u ,g5   ,q,h,6.0,t,+  ,11,fa   ,g,80,0,1
b,56.75,12.25,u ,g5   ,m,v,1.25,t,+  ,4,tr   ,g,200,0,1
b,31.67,16.165,u ,g5   ,d,v,3.0,t,+  ,9,fa   ,g,250,730,1
a,23.42,0.79,y ,p5   ,q,v,1.5,t,+  ,2,tr   ,g,80,400,1
a,20.42,0.835,u ,g5   ,q,v,1.585,t,+  ,1,fa   ,g,0,0,1
b,26.67,4.25,u ,g5   ,cc,v,4.29,t,+  ,1,tr   ,g,120,0,1
b,34.17,1.54,u ,g5   ,cc,v,1.54,t,+  ,1,tr   ,g,520,50000,1
a,36.0,1.0,u ,g5   ,c,v,2.0,t,+  ,11,fa   ,g,0,456,1
b,25.5,0.375,u ,g5   ,m,v,0.25,t,+  ,3,fa   ,g,260,15108,1
b,19.42,6.5,u ,g5   ,w,h,1.46,t,+  ,7,fa   ,g,80,2954,1
b,35.17,25.125,u ,g5   ,x,h,1.625,t,+  ,1,tr   ,g,515,500,1
b,32.33,7.5,u ,g5   ,e,bb,1.585,t,-  ,0,tr   ,s,420,0,0
a,38.58,5.0,u ,g5   ,cc,v,13.5,t,-  ,0,tr   ,g,980,0,0
b,44.25,0.5,u ,g5   ,m,v,10.75,t,-  ,0,fa   ,s,400,0,0
b,44.83,7.0,y ,p5   ,c,v,1.625,f,-  ,0,fa   ,g,160,2,0
b,20.67,5.29,u ,g5   ,q,v,0.375,t,+  ,1,fa   ,g,160,0,0
b,34.08,6.5,u ,g5   ,aa,v,0.125,t,-  ,0,tr   ,g,443,0,0
a,19.17,0.585,y ,p5   ,aa,v,0.585,t,-  ,0,tr   ,g,160,0,0
b,21.67,1.165,y ,p5   ,k,v,2.5,t,+  ,1,fa   ,g,180,20,0
b,21.5,9.75,u ,g5   ,c,v,0.25,t,-  ,0,fa   ,g,140,0,0
b,49.58,19.0,u ,g5   ,ff,ff,0.0,t,+  ,1,fa   ,g,94,0,0
a,27.67,1.5,u ,g5   ,m,v,2.0,t,-  ,0,fa   ,s,368,0,0
b,39.83,0.5,u ,g5   ,m,v,0.25,t,-  ,0,fa   ,s,288,0,0
b,27.25,0.625,u ,g5   ,aa,v,0.455,t,-  ,0,tr   ,g,200,0,0
b,37.17,4.0,u ,g5   ,c,bb,5.0,t,-  ,0,tr   ,s,280,0,0
b,25.67,2.21,y ,p5   ,aa,v,4.0,t,-  ,0,fa   ,g,188,0,0
b,34.0,4.5,u ,g5   ,aa,v,1.0,t,-  ,0,tr   ,g,240,0,0
a,49.0,1.5,u ,g5   ,j,j,0.0,t,-  ,0,tr   ,g,100,27,0
b,62.5,12.75,y ,p5   ,c,h,5.0,t,-  ,0,fa   ,g,112,0,0
b,31.42,15.5,u ,g5   ,c,v,0.5,t,-  ,0,fa   ,g,120,0,0
b,52.33,1.375,y ,p5   ,c,h,9.46,t,-  ,0,tr   ,g,200,100,0
b,28.75,1.5,y ,p5   ,c,v,1.5,t,-  ,0,tr   ,g,0,225,0
a,28.58,3.54,u ,g5   ,i,bb,0.5,t,-  ,0,tr   ,g,171,0,0
b,23.0,0.625,y ,p5   ,aa,v,0.125,t,-  ,0,fa   ,g,180,1,0
