M	Bach	0.029980493244671662	4upto45	Y	C	Married	Y	Professional	3High	Owner	Midwest	0.25	G	1
M	SomeCollege	0.015994198698769255	4upto45	Y	C	Married	Y	Sales/Service	1Low	Owner	South	0.125	F	0
M	Bach	0.03471556125218222	5upto55	Y	C	Married	Y	Professional	3High	Owner	South	0.25	H	1
M	SomeCollege	0.004956778885120449	7above65	Y	F	Married	N	Retired	1Low	Owner	Northeast	0.625	D	1
M	Bach	0.06002501851175773	5upto55	Y	C	Married	Y	Professional	2Med	Owner	West	0.125	G	1
M	SomeCollege	0.04345303086073346	2upto25	Y	C	Married	Y	Sales/Service	1Low	Owner	Midwest	0.0	J	0
F	HS	0.0076123069146880355	6upto65	Y	G	Married	N	Sales/Service	1Low	Owner	Northeast	0.875	F	0
M	HS	0.013267835244405727	5upto55	Y	B	Married	N	BlueCollar	1Low	Owner	Midwest	0.0	E	1
M	SomeCollege	0.012041021714959651	2upto25	N	J	Married	N	Sales/Service	1Low	Owner	South	0.875	D	0
M	Grad	0.022292148303366514	7above65	Y	I	Married	N	Retired	2Med	Owner	West	0.125	E	1
M	HS	0.021334569418166024	7above65	Y	E	Single	N	Retired	1Low	Owner	South	0.0	F	1
M	SomeCollege	0.02279810133047537	6upto65	Y	C	Married	N	Professional	1Low	Renter	Midwest	0.125	H	0
M	Grad	0.02526383444360525	6upto65	Y	E	Married	Y	BlueCollar	1Low	Owner	Midwest	0.375	G	0
F	Bach	0.07361531501904103	6upto65	Y	B	Married	N	Professional	3High	Owner	West	0.0	J	1
M	Bach	0.03209505073487252	7above65	Y	B	Married	Y	Professional	1Low	Owner	West	0.5	E	0
M	Grad	0.042183696066402813	6upto65	Y	B	Married	N	Professional	1Low	Owner	South	0.0	L	1
F	HS	0.012343172820727647	5upto55	Y	B	Married	N	Professional	1Low	Owner	South	0.125	E	0
M	Grad	0.08129065345579325	3upto35	N	B	Married	Y	Professional	1Low	Owner	South	0.0	L	1
M	Grad	0.03112556589550434	5upto55	Y	C	Married	Y	Professional	1Low	Renter	South	0.0	A	1
M	HS	0.014457630260893473	4upto45	Y	E	Married	N	BlueCollar	1Low	Owner	West	0.125	E	1
M	Grad	0.03081801208784513	5upto55	Y	C	Married	Y	Professional	2Med	Owner	South	0.25	G	1
M	Grad	0.06648644987358178	5upto55	Y	C	Married	Y	Professional	3High	Owner	Midwest	0.0	L	1
M	SomeCollege	0.09486794345852362	5upto55	Y	E	Married	Y	Professional	1Low	Owner	South	0.0	C	1
M	Grad	0.08703992866832704	6upto65	Y	B	Married	N	Professional	3High	Owner	South	0.0	K	1
M	SomeCollege	0.008987994896247613	6upto65	N	D	Married	N	Professional	1Low	Owner	Midwest	0.0	E	0
F	SomeCollege	0.045182695866202695	3upto35	N	E	Single	Y	BlueCollar	1Low	Renter	West	0.375	F	0
F	HS	0.013317560111811916	6upto65	N	F	Married	Y	Sales/Service	1Low	Owner	South	0.5	B	1
M	Bach	0.03194457548219865	5upto55	Y	E	Married	N	Sales/Service	1Low	Renter	Rest	0.125	E	1
F	SomeCollege	0.017936470028661333	4upto45	N	F	Single	Y	Sales/Service	1Low	Renter	West	0.25	D	1
F	Bach	0.03332846756663008	4upto45	Y	C	Married	Y	Sales/Service	3High	Owner	South	0.0	J	1
F	SomeCollege	0.019577690803170667	5upto55	Y	G	Single	N	Professional	1Low	Owner	Rest	0.125	E	1
M	Bach	0.05722882013294849	3upto35	Y	B	Married	Y	Professional	3High	Owner	West	0.0	K	0
M	Grad	0.02796298428844265	6upto65	Y	B	Single	N	Professional	1Low	Owner	South	0.0	G	1
M	lessHS	0.021868936655221275	7above65	N	G	Married	N	Retired	1Low	Renter	South	0.0	A	0
M	Bach	0.03682251493972136	3upto35	N	C	Married	Y	Professional	1Low	Owner	Midwest	0.375	H	1
M	SomeCollege	0.025416510797049607	7above65	Y	D	Married	N	Others	1Low	Owner	West	0.125	E	1
M	HS	0.054365087980499056	4upto45	Y	H	Single	N	Professional	1Low	Owner	Northeast	0.0	G	0
M	SomeCollege	0.01945643016072338	4upto45	Y	J	Single	Y	BlueCollar	2Med	Owner	West	0.125	F	1
F	Bach	0.03180710673407772	6upto65	Y	B	Married	N	Professional	1Low	Owner	South	0.125	G	1
M	HS	0.009955878935055422	5upto55	Y	J	Married	Y	BlueCollar	1Low	Owner	South	0.75	F	0
M	Grad	0.1479338817342553	7above65	Y	B	Married	N	Retired	3High	Owner	Northeast	0.0	L	1
F	Grad	0.07389675576755936	4upto45	Y	B	Married	Y	Professional	3High	Owner	Northeast	0.0	K	1
M	Bach	0.046316863063217924	3upto35	Y	C	Married	Y	Professional	1Low	Owner	Northeast	0.0	H	0
M	Grad	0.04901051015612909	5upto55	Y	C	Married	Y	Professional	1Low	Owner	Midwest	0.0	L	0
F	HS	0.039986197097168295	5upto55	Y	E	Married	Y	Professional	2Med	Owner	Northeast	0.125	J	0
M	SomeCollege	0.02215507975538567	7above65	Y	D	Married	N	Others	1Low	Owner	Northeast	0.0	E	1
F	Bach	0.016953878634705218	5upto55	Y	J	Married	Y	Sales/Service	1Low	Owner	South	0.375	F	0
M	SomeCollege	0.026719762553252882	5upto55	Y	E	Married	Y	Sales/Service	2Med	Owner	West	0.375	G	1
M	SomeCollege	0.014017009906654318	3upto35	N	F	Married	N	Sales/Service	1Low	Owner	Northeast	0.375	D	1
M	SomeCollege	0.02536528517911808	6upto65	Y	E	Married	Y	Professional	1Low	Owner	Midwest	0.125	I	0
M	lessHS	0.011493347823246406	3upto35	N	E	Married	Y	Sales/Service	1Low	Renter	Midwest	0.5	D	0
M	Bach	0.0019400702291215838	5upto55	N	I	Single	N	Professional	1Low	Renter	Northeast	0.5	C	0
M	Grad	0.048029019312558215	3upto35	Y	B	Married	N	Professional	1Low	Owner	Northeast	0.0	L	1
M	Grad	0.1038376291983621	4upto45	Y	C	Married	Y	Professional	2Med	Owner	West	0.0	K	1
F	SomeCollege	0.019461032462334413	5upto55	Y	E	Married	N	Professional	1Low	Owner	South	0.25	F	0
M	HS	0.016830616991557478	3upto35	Y	C	Married	Y	BlueCollar	1Low	Owner	Midwest	0.125	C	1
M	Grad	0.010723562853783177	7above65	Y	D	Married	N	Retired	1Low	Owner	South	0.375	F	0
M	HS	0.009500050975492844	7above65	Y	D	Married	N	Retired	1Low	Owner	Midwest	0.25	G	0
F	Bach	0.023706555648479805	6upto65	Y	E	Married	N	Professional	1Low	Owner	West	0.0	G	1
M	SomeCollege	0.02751365958115654	6upto65	N	B	Married	N	Sales/Service	1Low	Owner	Midwest	0.25	E	0
F	Bach	0.017935369478276085	3upto35	N	E	Single	Y	Sales/Service	1Low	Owner	West	0.125	E	0
M	SomeCollege	0.016248425837761465	6upto65	N	D	Married	N	Sales/Service	1Low	Owner	South	0.125	D	0
M	SomeCollege	0.03332846756663008	4upto45	Y	E	Married	Y	BlueCollar	2Med	Owner	West	0.625	F	1
M	Bach	0.038294751205077665	4upto45	Y	B	Single	N	Professional	1Low	Owner	Northeast	0.25	F	1
M	SomeCollege	0.01379910093037528	3upto35	N	F	Married	Y	BlueCollar	2Med	Owner	Midwest	0.25	B	0
M	Bach	0.02519510006954478	4upto45	Y	C	Married	Y	Others	1Low	Owner	Midwest	0.25	F	1
M	lessHS	0.017513958730761253	4upto45	Y	E	Married	Y	BlueCollar	1Low	Owner	South	0.875	A	0
F	Grad	0.057691251394822556	6upto65	Y	B	Married	Y	BlueCollar	1Low	Owner	West	0.375	F	1
M	Bach	0.04674397666272904	5upto55	Y	C	Married	Y	Professional	3High	Owner	South	0.0	H	1
M	Bach	0.06652466898696038	7above65	Y	C	Married	Y	Retired	1Low	Owner	South	0.0	K	0
M	Bach	0.011373187731184365	5upto55	Y	H	Single	N	Professional	1Low	Renter	Northeast	0.125	F	1
M	HS	0.04183332084375397	5upto55	Y	E	Married	N	Professional	2Med	Owner	West	0.0	H	1
M	Bach	0.022135069748381166	3upto35	Y	F	Married	Y	BlueCollar	1Low	Renter	Northeast	0.5	E	1
M	lessHS	0.03016148375802739	6upto65	Y	B	Married	N	Professional	1Low	Owner	South	0.0	A	0
M	SomeCollege	0.08250215932988088	5upto55	Y	C	Married	Y	Sales/Service	3High	Owner	West	0.0	K	0
F	SomeCollege	0.02407233857652212	3upto35	N	C	Married	Y	Others	2Med	Owner	West	0.25	F	0
F	HS	0.03555318014539072	4upto45	Y	E	Married	Y	Sales/Service	3High	Owner	Northeast	0.25	F	0
F	SomeCollege	0.019402203041741176	4upto45	Y	E	Married	N	Professional	2Med	Owner	South	0.25	F	0
F	Bach	0.01009985093545282	4upto45	N	E	Married	Y	Professional	1Low	Owner	Midwest	0.375	F	0
F	Bach	0.04378889882830404	5upto55	Y	B	Married	Y	Professional	3High	Owner	West	0.0	J	1
M	Bach	0.02900330455260676	6upto65	Y	B	Married	N	Professional	2Med	Owner	South	0.0	K	1
M	SomeCollege	0.036420113698860807	4upto45	Y	E	Married	Y	Professional	3High	Owner	West	0.0	F	1
F	SomeCollege	0.0009438720304024042	3upto35	Y	F	Single	Y	Professional	1Low	Owner	West	0.125	F	0
M	Bach	0.055800205682862	6upto65	N	E	Married	N	Sales/Service	1Low	Owner	West	0.25	F	1
M	Grad	0.16962482937717155	5upto55	Y	B	Married	Y	Professional	3High	Owner	West	0.0	I	1
F	Bach	0.02762641597062691	4upto45	Y	E	Married	Y	Professional	2Med	Owner	Midwest	0.375	G	1
F	SomeCollege	0.03969174984409704	4upto45	Y	E	Married	Y	Sales/Service	3High	Owner	Northeast	0.0	F	1
M	SomeCollege	0.015708555848779976	3upto35	Y	F	Single	Y	BlueCollar	2Med	Owner	West	0.25	E	1
M	SomeCollege	0.003239219933888938	4upto45	N	F	Married	Y	BlueCollar	1Low	Owner	South	1.0	E	0
M	Bach	0.033928267526590054	4upto45	Y	E	Married	Y	Sales/Service	3High	Owner	South	0.125	E	1
F	Grad	0.08076719167255546	5upto55	Y	C	Married	Y	Sales/Service	3High	Owner	West	0.125	H	1
M	lessHS	0.08164833233099875	6upto65	Y	C	Married	Y	Professional	3High	Owner	Midwest	0.0	J	1
F	Bach	0.03695998368784229	4upto45	N	E	Married	Y	Sales/Service	1Low	Owner	Northeast	0.375	F	0
F	Bach	0.03252576613564444	4upto45	Y	C	Married	Y	Professional	2Med	Owner	Midwest	0.125	J	1
F	Bach	0.04504092496657579	6upto65	Y	E	Married	Y	Professional	2Med	Owner	West	0.25	H	0
M	Bach	0.07548895202490766	4upto45	N	B	Married	Y	BlueCollar	1Low	Owner	Northeast	0.5	G	1
M	Bach	0.011377689982760378	7above65	Y	D	Married	N	Sales/Service	1Low	Owner	South	0.0	F	0
F	Bach	0.016070036625316322	4upto45	Y	E	Married	Y	Professional	1Low	Owner	Midwest	0.125	G	0
F	HS	0.031434120203513785	5upto55	Y	E	Married	N	Professional	1Low	Owner	South	0.125	I	1
M	HS	0.02843842205486964	4upto45	Y	C	Married	Y	BlueCollar	2Med	Owner	South	0.0	K	1
F	Grad	0.017973588591654686	5upto55	Y	F	Married	Y	Professional	1Low	Owner	Northeast	0.0	G	0
M	SomeCollege	0.01617388856166969	3upto35	N	C	Married	Y	Professional	2Med	Owner	South	0.0	E	0
F	Bach	0.023218011327464864	6upto65	Y	E	Single	N	Professional	1Low	Owner	Midwest	0.125	K	1
M	Bach	0.009866434203745294	6upto65	Y	E	Married	N	Professional	2Med	Owner	South	0.125	E	1
M	Grad	0.00931285735996572	7above65	Y	F	Married	N	Professional	1Low	Owner	South	0.125	F	1
M	SomeCollege	0.01209504873387181	3upto35	Y	E	Married	Y	BlueCollar	1Low	Owner	South	0.375	E	1
M	HS	0.020481842969669133	6upto65	Y	B	Married	Y	Sales/Service	1Low	Owner	West	0.125	F	1
F	Grad	0.0479853974972884	5upto55	Y	C	Married	Y	Professional	3High	Owner	South	0.125	G	1
F	Bach	0.03048534572139527	5upto55	Y	C	Married	Y	Professional	2Med	Owner	Northeast	0.0	E	1
M	SomeCollege	0.025454729910428207	2upto25	N	E	Married	Y	Others	3High	Owner	Midwest	0.0	D	0
M	SomeCollege	0.03826633699513127	4upto45	Y	C	Married	Y	Professional	3High	Owner	South	0.0	J	1
M	Bach	0.02044912660821677	5upto55	Y	D	Married	N	Sales/Service	1Low	Renter	South	0.0	E	1
F	SomeCollege	0.016185094165592214	4upto45	N	E	Married	Y	Sales/Service	1Low	Owner	South	0.25	G	0
M	Bach	0.029587896907243314	5upto55	N	E	Single	N	Others	3High	Owner	West	0.0	B	1
M	Bach	0.0012446224356800837	3upto35	N	G	Single	Y	BlueCollar	1Low	Renter	Midwest	0.75	E	0
F	HS	0.03969174984409704	6upto65	Y	B	Married	N	Professional	3High	Owner	South	0.0	H	1
F	Grad	0.0046525267286169816	4upto45	N	I	Single	N	Sales/Service	1Low	Owner	South	0.375	D	0
M	lessHS	0.012874138356592131	6upto65	N	B	Married	N	Farm	1Low	Owner	South	0.5	E	1
F	HS	0.022352078274345	6upto65	Y	B	Married	N	Professional	1Low	Owner	South	0.0	G	0
M	Grad	0.043803105933277235	3upto35	Y	A	Married	Y	Professional	1Low	Renter	West	0.0	F	1
F	Bach	0.02522021262833543	4upto45	Y	B	Married	Y	Professional	1Low	Owner	Midwest	0.0	K	1
F	lessHS	0.02292026242323786	6upto65	N	D	Single	Y	Sales/Service	1Low	Owner	Northeast	0.0	E	1
M	SomeCollege	0.027679442489188844	4upto45	Y	C	Married	Y	Sales/Service	1Low	Owner	Midwest	0.0	G	1
M	Bach	0.022253929189987913	5upto55	Y	B	Married	N	Professional	1Low	Owner	Midwest	0.125	F	1
M	SomeCollege	0.024233319082873347	6upto65	Y	C	Married	Y	Others	2Med	Owner	Midwest	0.0	F	0
F	SomeCollege	0.018298551105407814	5upto55	Y	F	Married	Y	Sales/Service	1Low	Owner	South	0.375	E	1
M	lessHS	0.00699499819859912	3upto35	N	F	Married	Y	Professional	1Low	Owner	Midwest	0.5	B	0
M	SomeCollege	0.025670637886006792	5upto55	Y	B	Married	N	Farm	1Low	Owner	South	0.75	B	0
M	Grad	0.040732570358436256	6upto65	Y	B	Married	N	Professional	3High	Owner	Midwest	0.0	J	1
F	SomeCollege	0.028173189412024954	7above65	Y	J	Married	Y	Professional	1Low	Owner	South	0.25	F	1
M	Grad	0.048126067846530056	7above65	Y	B	Married	N	Retired	1Low	Owner	Midwest	0.0	L	1
M	SomeCollege	0.003553276993824612	4upto45	Y	F	Married	Y	Professional	1Low	Owner	South	0.375	D	0
M	SomeCollege	0.03694687713325435	6upto65	Y	B	Married	N	Professional	1Low	Owner	South	0.5	F	1
F	Bach	0.01982961679135736	7above65	Y	D	Married	N	Retired	1Low	Owner	Midwest	0.375	D	0
M	SomeCollege	0.010101351685978158	6upto65	Y	J	Married	N	Professional	1Low	Owner	South	0.375	F	1
F	HS	0.016935469428261074	6upto65	Y	B	Married	N	Professional	1Low	Owner	Northeast	0.875	E	1
F	SomeCollege	0.050585197657348445	5upto55	Y	B	Married	N	Professional	2Med	Owner	Midwest	0.0	J	1
F	HS	0.01645112720871708	5upto55	N	B	Married	Y	Professional	1Low	Owner	Midwest	0.125	F	0
M	Bach	0.1156428329807737	4upto45	Y	B	Married	Y	Professional	1Low	Owner	Northeast	0.0	D	1
M	SomeCollege	0.021288846552160737	4upto45	Y	C	Married	Y	Sales/Service	2Med	Owner	South	0.0	F	1
M	Grad	0.04339960414203144	4upto45	Y	C	Married	Y	Professional	3High	Owner	Midwest	0.0	J	1
M	SomeCollege	0.012346374421848367	4upto45	Y	F	Married	Y	BlueCollar	1Low	Owner	West	0.375	E	1
M	Bach	0.03204372506690596	4upto45	Y	C	Married	Y	Sales/Service	2Med	Owner	West	0.125	H	1
M	Grad	0.08246514081692255	7above65	Y	D	Married	N	Professional	1Low	Owner	South	0.0	J	1
F	Bach	0.11580641478803551	4upto45	Y	C	Married	Y	Professional	3High	Owner	West	0.0	L	0
M	Grad	0.04278349602636279	6upto65	N	B	Married	N	Sales/Service	2Med	Owner	West	0.625	E	1
M	HS	0.00328824445104997	7above65	Y	J	Married	N	Sales/Service	1Low	Owner	South	0.25	E	0
M	lessHS	0.025511358230250948	2upto25	Y	B	Married	N	Sales/Service	1Low	Owner	Midwest	0.0	G	0
M	SomeCollege	0.009677039487447673	4upto45	N	E	Married	Y	Professional	1Low	Owner	Midwest	0.25	H	0
F	SomeCollege	0.08946974381888383	4upto45	Y	C	Married	Y	Professional	3High	Owner	South	0.0	G	1
F	SomeCollege	0.013423813249005828	3upto35	Y	E	Married	Y	Sales/Service	1Low	Owner	Northeast	0.375	E	0
F	HS	0.014179090963390793	5upto55	N	E	Married	Y	Sales/Service	1Low	Owner	Midwest	0.25	E	1
M	SomeCollege	0.04883602289504982	7above65	Y	H	Married	N	Retired	1Low	Owner	West	0.125	G	1
F	Bach	0.05296698879109443	5upto55	Y	C	Married	Y	Professional	2Med	Owner	West	0.375	G	0
M	Bach	0.03311576119217221	5upto55	Y	E	Married	Y	BlueCollar	1Low	Owner	South	0.375	G	1
M	HS	0.011277639947737863	5upto55	Y	F	Married	Y	Sales/Service	1Low	Owner	Northeast	0.0	G	1
M	SomeCollege	0.058261636644485915	5upto55	Y	B	Married	Y	Others	3High	Owner	West	0.0	J	1
M	Grad	0.06918559971841919	5upto55	Y	B	Married	N	Professional	3High	Owner	West	0.0	L	1
F	Bach	0.010467334714090516	5upto55	N	E	Married	Y	Professional	1Low	Owner	Midwest	0.5	D	0
